English,Engine A,Engine B,Label,,,
"The treaty was published in the United States for the first time by the St. Louis Post-Dispatch on May 22, 1946, in Britain by the Manchester Guardian.",یہ معاہدہ ریاست ہائے متحدہ امریکہ میں پہلی بار سینٹ لوئس پوسٹ ڈسپیچ نے 22 مئی 1946 کو مانچسٹر گارڈین کے ذریعہ برطانیہ میں شائع کیا تھا۔,یہ معاہدہ پہلی بار ریاستہائے متحدہ میں 22 مئی 1946 کو سینٹ لوئس پوسٹ ڈسپچ کے ذریعہ شائع کیا گیا تھا ، برطانیہ میں مانچسٹر گارڈین کے ذریعہ۔,B,,,
"The further decline of Byzantine state-of-affairs paved the road to a third attack in 1185, when a large Norman army invaded Dyrrachium, owing to the betrayal of high Byzantine officials.",بازنطینی اسٹیٹ آف اثاثوں کے مزید زوال نے 1185 میں تیسرے حملے کی راہ ہموار کردی ، جب ایک بڑی نارمن فوج نے بزنطین کے اعلی عہدیداروں کے ساتھ غداری کی وجہ سے ڈیرراچیم پر حملہ کیا۔,بازنطینی ریاست کے مزید زوال نے 1185 میں تیسرے حملے کی راہ ہموار کی ، جب ایک بڑی نارمن فوج نے اعلی بازنطینی عہدیداروں کے غداری کی وجہ سے ڈراچیم پر حملہ کیا۔,B,,,
It is funded and operated largely by city resources and employees.,یہ شہر کے وسائل اور ملازمین کے ذریعہ بڑے پیمانے پر مالی اعانت اور چلائی جاتی ہے۔,یہ بڑے پیمانے پر شہر کے وسائل اور ملازمین کی طرف سے فنڈ اور چلایا جاتا ہے.,C,,,
"In 1765 Burke became private secretary to the liberal Whig statesman, Charles, Marquess of Rockingham, then Prime Minister of Great Britain, who remained Burke's close friend and associate until his untimely death in 1782.",1765 میں برک لبرل وِگ اسٹیٹسمین ، چارلس ، مارکس آف راکنگھم کے نجی سکریٹری بن گئے ، اس وقت کے عظیم برطانیہ کے وزیر اعظم ، جو 1782 میں برک کے قریبی دوست اور اس کے ساتھ وابستہ رہے۔,1765 میں برک لبرل وِگ سیاستدان ، چارلس ، مارکیس آف راکنگھم ، اس وقت برطانیہ کے وزیر اعظم کے نجی سکریٹری بن گئے ، جو 1782 میں ان کی قبل از وقت موت تک برک کے قریبی دوست اور ساتھی رہے۔,B,,,
They differ on whether the race concept remains a meaningful and useful social convention.,وہ اس پر مختلف ہیں کہ آیا ریس کا تصور ایک معنی خیز اور مفید سماجی کنونشن ہے۔,وہ اس بات پر اختلاف کرتے ہیں کہ کیا نسل کا تصور ایک معنی خیز اور مفید معاشرتی کنونشن ہے۔,B,,,
"The adverse reaction, once the paper had hit the streets on the evening of 21 September, led to the headline being changed for the paper's second edition to the more sympathetic ""Sad Bruno In Mental Home"".","منفی ردعمل ، ایک بار جب کاغذ 21 ستمبر کی شام سڑکوں پر ٹکرا گیا ، اس کے نتیجے میں اس کاغذ کے دوسرے ایڈیشن کی سرخی کو زیادہ ہمدرد ""ذہنی گھر میں غمگین برونو"" میں تبدیل کردیا گیا۔","منفی ردعمل ، ایک بار جب اخبار 21 ستمبر کی شام کو سڑکوں پر پہنچ گیا تھا ، اس کے نتیجے میں اخبار کے دوسرے ایڈیشن کے لئے عنوان کو زیادہ ہمدردی سے تبدیل کردیا گیا تھا ""دماغی گھر میں اداس برونو""۔",C,,,
"The incessant replaying of the ""Dean Scream"" by the press became a debate on the topic of whether Dean was the victim of media bias.","پریس کے ذریعہ ""ڈین چیخ"" کی مسلسل دوبارہ کھیلنا اس موضوع پر ایک بحث بن گیا کہ آیا ڈین میڈیا تعصب کا شکار تھا یا نہیں۔","پریس کی طرف سے ""ڈین چیخ"" کی مسلسل تکرار اس موضوع پر ایک بحث بن گئی کہ کیا ڈین میڈیا تعصب کا شکار تھا.",B,,,
Some windows were subsequently bricked-in.,کچھ کھڑکیاں بعد میں اینٹ میں تھیں۔,کچھ کھڑکیوں کو بعد میں bricked میں کیا گیا تھا.,C,,,
"The chief of these was Wu Sangui, who was given the provinces of Yunnan and Guizhou, while generals Shang Kexi and Geng Jingzhong were given Guangdong and Fujian provinces respectively.",ان کے چیف وو سنگوئی تھے ، جنھیں یونان اور گوئزو کے صوبے دیئے گئے تھے ، جبکہ جرنیلوں شانگ کیکسی اور گینگ جینگ زونگ کو بالترتیب گوانگ ڈونگ اور فوزیان صوبے دیئے گئے تھے۔,ان کا سربراہ وو سانگوئی تھا ، جسے یوننان اور گیزہو کے صوبے دیئے گئے تھے ، جبکہ جنرل شانگ کیسی اور گینگ جینگ زونگ کو بالترتیب گوانگ ڈونگ اور فوجیان صوبے دیئے گئے تھے۔,A,,,
"Under the number ""4"" for radical stroke count, the user locates 木, then turns to the page number listed, which is the start of the listing of all the characters containing this radical.","بنیاد پرست اسٹروک گنتی کے لئے ""4"" نمبر کے تحت ، صارف تلاش کرتا ہے 木 ، پھر درج صفحہ نمبر کی طرف رجوع کرتا ہے ، جو اس بنیاد پر مشتمل تمام کرداروں کی فہرست کا آغاز ہے۔","ریڈیکل اسٹروک گنتی کے لئے نمبر ""4"" کے تحت ، صارف 木 کا پتہ لگاتا ہے ، پھر درج صفحے کے نمبر پر جاتا ہے ، جو اس ریڈیکل پر مشتمل تمام حروف کی فہرست کا آغاز ہے۔",B,,,
In the early 1970s the Rolling Stones developed their hard rock sound with Exile on Main St. (1972).,1970 کی دہائی کے اوائل میں رولنگ اسٹونز نے مین سینٹ (1972) پر جلاوطنی کے ساتھ اپنی سخت چٹان کی آواز تیار کی۔,1970 کی دہائی کے اوائل میں رولنگ اسٹونز نے مین اسٹریٹ پر جلاوطنی (1972) کے ساتھ اپنی ہارڈ راک آواز تیار کی۔,B,,,
"Elizabeth I of England, primarily interested in trade with the east, collaborated with English merchants to form the first trading companies to the far-flung regions, using their own jargon.",انگلینڈ کی الزبتھ اول ، بنیادی طور پر مشرق کے ساتھ تجارت میں دلچسپی رکھتے ہیں ، انگریزی تاجروں کے ساتھ مل کر اپنے اپنے جرگان کا استعمال کرتے ہوئے ، دور دراز علاقوں میں پہلی تجارتی کمپنیوں کی تشکیل کے لئے تعاون کرتے ہیں۔,انگلینڈ کی الزبتھ اول ، جو بنیادی طور پر مشرق کے ساتھ تجارت میں دلچسپی رکھتی تھیں ، نے انگریزی تاجروں کے ساتھ مل کر اپنی زبان کا استعمال کرتے ہوئے دور دراز علاقوں میں پہلی تجارتی کمپنیاں تشکیل دیں۔,B,,,
"In the debate, both sides and even courts in their decisions have frequently invoked Popper's criterion of falsifiability (see Daubert standard).",مباحثے میں ، دونوں فریقوں اور یہاں تک کہ عدالتوں نے اپنے فیصلوں میں عدالتوں نے پوپر کے غلط فہمی کے معیار کو کثرت سے طلب کیا ہے (دیکھیں ڈاؤبرٹ اسٹینڈرڈ)۔,بحث میں ، دونوں فریقوں اور یہاں تک کہ عدالتوں نے اپنے فیصلوں میں اکثر پوپر کے غلط فہمی کے معیار کا حوالہ دیا ہے (دوبارٹ معیار دیکھیں) ۔,B,,,
"For example, a typical vacuum cleaner produces enough suction to reduce air pressure by around 20%.",مثال کے طور پر ، ایک عام ویکیوم کلینر ہوا کے دباؤ کو تقریبا 20 20 ٪ کم کرنے کے ل enough کافی سکشن پیدا کرتا ہے۔,مثال کے طور پر، ایک عام ویکیوم کلینر ہوا کے دباؤ کو تقریبا 20٪ کم کرنے کے لئے کافی سکشن پیدا کرتا ہے.,B,,,
"His election was disputed, and members of the Board of Directors accused him of acting in an autocratic and secretive manner.",اس کا انتخاب متنازعہ تھا ، اور بورڈ آف ڈائریکٹرز کے ممبروں نے اس پر الزام لگایا کہ وہ خود مختار اور خفیہ انداز میں کام کرے گا۔,ان کے انتخاب پر تنازعہ پیدا ہوا ، اور بورڈ آف ڈائریکٹرز کے ممبروں نے ان پر خود مختار اور خفیہ انداز میں کام کرنے کا الزام لگایا۔,B,,,
"While the initial focus was on developing modern hospitals, schools, factories and massive public works, perhaps the most long-lasting effects of the Porfirian modernization were creation of the Colonia Roma area and the development of Reforma Avenue.",اگرچہ ابتدائی توجہ جدید اسپتالوں ، اسکولوں ، فیکٹریوں اور بڑے پیمانے پر عوامی کاموں کی ترقی پر مرکوز تھی ، شاید پورفیرین جدید کاری کے سب سے دیرپا اثرات کولونیا روما کے علاقے کی تشکیل اور ریفارم ایونیو کی ترقی تھے۔,اگرچہ ابتدائی توجہ جدید اسپتالوں ، اسکولوں ، فیکٹریوں اور بڑے پیمانے پر عوامی کاموں کی ترقی پر تھی ، لیکن شاید پورفیری جدید کاری کے سب سے دیرپا اثرات کالونیا روما علاقے کی تخلیق اور ریفارما ایونیو کی ترقی تھے۔,C,,,
"Virgil is said to have recited Books 2, 4, and 6 to Augustus; and Book 6 apparently caused Augustus' sister Octavia to faint.",کہا جاتا ہے کہ ورجیل نے کتابیں 2 ، 4 ، اور 6 اگسٹس کی تلاوت کی ہیں۔اور کتاب 6 نے بظاہر آگسٹس کی بہن اوکٹویا کو بے ہوش کردیا۔,کہا جاتا ہے کہ ورجیل نے آگسٹس کو کتابیں 2، 4 اور 6 پڑھی تھیں۔ اور کتاب 6 نے بظاہر آگسٹس کی بہن اوکٹیویا کو بے ہوش کردیا۔,B,,,
", people were asked to rate themselves on a scale from completely heterosexual to completely homosexual.",، لوگوں سے کہا گیا تھا کہ وہ خود کو مکمل طور پر ہم جنس پرستی سے لے کر مکمل طور پر ہم جنس پرست تک اسکیل پر درجہ بندی کریں۔,، لوگوں سے کہا گیا تھا کہ وہ اپنے آپ کو مکمل طور پر ہم جنس پرست سے لے کر مکمل طور پر ہم جنس پرست تک کے پیمانے پر درجہ بندی کریں۔,C,,,
"The second Allstar game was in Oct. 2013, with two games, the first in Honolulu, Hawai'i, the second being in Beijing, China.",دوسرا آل اسٹار گیم اکتوبر 2013 میں تھا ، دو کھیلوں کے ساتھ ، پہلے ہونولوولو ، ہوائی میں ، دوسرا ، چین کے شہر بیجنگ میں تھا۔,دوسرا آل اسٹار گیم اکتوبر 2013 میں ہوا تھا ، جس میں دو کھیل تھے ، پہلا ہونولولو ، ہوائی میں ، دوسرا بیجنگ ، چین میں۔,B,,,
A dominant element was the intellectual angle they took.,ایک غالب عنصر وہ دانشورانہ زاویہ تھا جو انہوں نے لیا تھا۔,ایک غالب عنصر وہ دانشورانہ زاویہ تھا جو انہوں نے لیا تھا۔,C,,,
"This time they launched the first woman (also the first civilian), Valentina Tereshkova, into space on Vostok 6.",اس بار انہوں نے پہلی خاتون (پہلی سویلین بھی) ، ویلنٹینا تیریشکووا کو ووسٹک 6 پر خلا میں لانچ کیا۔,اس بار انہوں نے پہلی عورت (پہلی شہری بھی) ، والینٹینا ٹیرشکووا کو ووسٹوک 6 پر خلا میں لانچ کیا۔,C,,,
"The term ""botany"" comes from the Ancient Greek word βοτάνη (botanē) meaning ""pasture"", ""grass"", or ""fodder""; βοτάνη is in turn derived from βόσκειν (boskein), ""to feed"" or ""to graze"".","""نباتیات"" کی اصطلاح قدیم یونانی لفظ βοτάνη (بوٹانی) سے ہے جس کا مطلب ہے ""چراگاہ"" ، ""گھاس"" ، یا ""چارے"" ؛bull ، بدلے میں βόσκειν (بوسکن) ، ""کھانا کھلانا"" یا ""چرنے کے لئے"" سے اخذ کیا گیا ہے۔","اصطلاح "" نباتات "" قدیم یونانی لفظ βοτάνη (botanē) سے آتی ہے جس کا مطلب ہے "" چراگاہ "" ، "" گھاس "" ، یا "" چارہ "" ؛ βοτάνη بدلے میں βόσκειν (boskein) سے ماخوذ ہے ، "" کھانا کھلانا "" یا "" چارہ""۔",B,,,
"According to Sadat, Nasser decided to wage ""a large scale assassination campaign"".","سادات کے مطابق ، ناصر نے ""بڑے پیمانے پر قتل کی مہم"" چلانے کا فیصلہ کیا۔","سادات کے مطابق ، ناصر نے ""بڑے پیمانے پر قتل کی مہم"" چلانے کا فیصلہ کیا۔",C,,,
"Sinop provided the United Kingdom and France with the casus belli (""cause for war"") for declaring war against Russia.","سنوپ نے روس کے خلاف جنگ کا اعلان کرنے کے لئے برطانیہ اور فرانس کو کاسس بیلی (""جنگ کا سبب"") فراہم کیا۔","سینوپ نے برطانیہ اور فرانس کو روس کے خلاف جنگ کا اعلان کرنے کے لئے کاسس بیلی (""جنگ کا سبب"") فراہم کیا۔",C,,,
This is a socio-economic bloc of nations in or near the Caribbean Sea.,یہ بحیرہ کیریبین میں یا اس کے آس پاس اقوام کا ایک سماجی و معاشی بلاک ہے۔,یہ بحیرہ کیریبین میں یا اس کے قریب ممالک کا ایک سماجی و معاشی بلاک ہے۔,A,,,
"This principle holds that the rules of physics must be the same for all observers, regardless of the frame of reference that is used, and that light propagates at the same speed in all reference frames.",اس اصول کا خیال ہے کہ طبیعیات کے قواعد تمام مبصرین کے لئے یکساں ہونا چاہئے ، قطع نظر اس کے کہ استعمال ہونے والے حوالہ کے فریم سے قطع نظر ، اور یہ کہ روشنی تمام ریفرنس فریموں میں ایک ہی رفتار سے پھیلتی ہے۔,اس اصول کا کہنا ہے کہ طبیعیات کے قوانین تمام مبصرین کے لئے ایک جیسے ہونے چاہئیں، قطع نظر اس سے کہ حوالہ کے فریم کا استعمال کیا جاتا ہے، اور یہ کہ روشنی تمام حوالہ فریموں میں ایک ہی رفتار سے پھیلتی ہے۔,C,,,
"On 4 November 2003, voters approved a greenbelt plan under which the city government bought development rights on agricultural parcels of land adjacent to Ann Arbor to preserve them from sprawling development.",4 نومبر 2003 کو ، رائے دہندگان نے گرین بیلٹ منصوبے کی منظوری دی جس کے تحت سٹی حکومت نے این آربر سے ملحقہ زمین کے زرعی پارسلوں پر ترقیاتی حقوق خریدے تاکہ انہیں وسیع تر ترقی سے بچایا جاسکے۔,4 نومبر 2003 کو ، ووٹرز نے ایک گرین بیلٹ پلان کی منظوری دی جس کے تحت شہر کی حکومت نے ان آربر کے ساتھ ملحقہ زرعی زمین کے ٹکڑوں پر ترقیاتی حقوق خریدے تاکہ انہیں پھیلتی ہوئی ترقی سے بچایا جاسکے۔,B,,,
Pashmina shawls are a product that is highly in demand in Himachal and all over the country.,پشمینا شال ایک ایسی مصنوع ہے جس کی مانگ ہماچل اور پورے ملک میں بہت زیادہ ہے۔,پشمینا شال ایک ایسی مصنوعات ہے جس کی ہماچل اور پورے ملک میں بہت مانگ ہے۔,C,,,
"Their publications teach that doctrinal changes and refinements result from a process of progressive revelation, in which God gradually reveals his will and purpose, and that such enlightenment or ""new light"" results from the application of reason and study, the guidance of the holy spirit, and direction from Jesus Christ and angels.","ان کی اشاعتوں میں یہ سکھایا جاتا ہے کہ نظریاتی تبدیلیوں اور تطہیر کا نتیجہ ترقی پسند انکشاف کے عمل سے ہوتا ہے ، جس میں خدا آہستہ آہستہ اپنی مرضی اور مقصد کو ظاہر کرتا ہے ، اور اس طرح کی روشن خیالی یا ""نئی روشنی"" استدلال اور مطالعہ کے اطلاق ، روح القدس کی رہنمائی سے نکلتی ہے۔، اور یسوع مسیح اور فرشتوں کی سمت۔","اُن کی اشاعتیں سکھاتی ہیں کہ عقائد میں تبدیلیاں اور اصلاحات بتدریج نازل ہونے کے عمل کا نتیجہ ہیں، جس میں خدا آہستہ آہستہ اپنی مرضی اور مقصد کو ظاہر کرتا ہے، اور یہ کہ اس طرح کی روشنی یا ""نئی روشنی"" عقلمندی اور مطالعہ، روح القدس کی رہنمائی، اور یسوع مسیح اور فرشتوں کی ہدایت کا نتیجہ ہے۔",B,,,
""" Later, a consensus formed among mainstream pollsters and pundits that Kerry won the debate decisively, strengthening what had come to be seen as a weak and troubled campaign.","""بعد میں ، مرکزی دھارے میں شامل رائے دہندگان اور پنڈتوں کے مابین ایک اتفاق رائے قائم ہوا کہ کیری نے فیصلہ کن انداز میں کامیابی حاصل کی ، جس سے ایک کمزور اور پریشان کن مہم کے طور پر دیکھنے کو ملتی ہے۔",""" بعد میں ، مرکزی دھارے کے سروے کرنے والوں اور ماہرین کے درمیان ایک اتفاق رائے پیدا ہوا کہ کیری نے بحث کو فیصلہ کن طور پر جیت لیا ، جس نے ایک کمزور اور پریشان کن مہم کے طور پر دیکھا گیا تھا۔",C,,,
Islam and Judaism have a complex relationship.,اسلام اور یہودیت کا ایک پیچیدہ رشتہ ہے۔,اسلام اور یہودیت کا ایک پیچیدہ رشتہ ہے۔,C,,,
"State collateral review, though an important step in that it helps define the scope of subsequent review through federal habeas corpus, is rarely successful in and of itself.",ریاستی خودکش حملہ ، اگرچہ اس میں ایک اہم اقدام اس کے بعد فیڈرل ہیبیئس کارپس کے ذریعہ بعد میں ہونے والے جائزے کے دائرہ کار کی وضاحت کرنے میں مدد کرتا ہے ، لیکن خود میں شاذ و نادر ہی کامیاب ہے۔,ریاستی ضمانت کی جانچ پڑتال، اگرچہ ایک اہم قدم ہے کیونکہ یہ وفاقی ہیبیاس کورپس کے ذریعے بعد میں جانچ پڑتال کے دائرہ کار کی وضاحت میں مدد کرتا ہے، شاذ و نادر ہی خود میں اور خود میں کامیاب ہے.,B,,,
"Small-scale ""expedition tourism"" has existed since 1957 and is currently subject to Antarctic Treaty and Environmental Protocol provisions, but in effect self-regulated by the International Association of Antarctica Tour Operators (IAATO).","چھوٹے پیمانے پر ""مہم سیاحت"" 1957 سے موجود ہے اور فی الحال انٹارکٹک معاہدے اور ماحولیاتی پروٹوکول کی دفعات کے تابع ہے ، لیکن بین الاقوامی ایسوسی ایشن آف انٹارکٹیکا ٹور آپریٹرز (IAATO) کے ذریعہ خود ضابطہ اخلاق ہے۔","چھوٹے پیمانے پر ""ایکسپیڈیشن سیاحت"" 1957 سے موجود ہے اور فی الحال انٹارکٹک معاہدے اور ماحولیاتی پروٹوکول کی دفعات کے تابع ہے ، لیکن حقیقت میں انٹارکٹیکا ٹور آپریٹرز کی بین الاقوامی ایسوسی ایشن (IAATO) کے ذریعہ خود کو منظم کیا جاتا ہے۔",B,,,
"Due to Eastern Lombard's status as a Gallo-Italic language, an Eastern Lombard speaker may, in fact, have more mutual intelligibility with a Occitan, Catalan, or French speaker than a standard Italian or Sicilian language speaker.",مشرقی لمبارڈ کی ایک گیلو-اخلاقی زبان کی حیثیت کی وجہ سے ، ایک مشرقی لمبارڈ اسپیکر ، در حقیقت ، ایک معیاری اطالوی یا سیسیلین زبان کے اسپیکر سے زیادہ واقعہ ، کاتالان ، یا فرانسیسی اسپیکر کے ساتھ زیادہ باہمی اہلیت حاصل کرسکتا ہے۔,مشرقی لومبارڈ کی حیثیت سے ایک گالو-اٹالک زبان کی حیثیت سے ، ایک مشرقی لومبارڈ اسپیکر ، حقیقت میں ، ایک معیاری اطالوی یا سسلی زبان کے اسپیکر کے مقابلے میں اوکسیٹن ، کاتالان ، یا فرانسیسی اسپیکر کے ساتھ زیادہ باہمی فہم ہوسکتا ہے۔,C,,,
The San Diego Yacht Club hosted the America's Cup yacht races three times during the period 1988 to 1995.,سان ڈیاگو یاٹ کلب نے 1988 سے 1995 کے دوران تین بار امریکہ کے کپ یاٹ ریس کی میزبانی کی۔,سان ڈیاگو یاٹ کلب نے 1988 سے 1995 کے عرصے کے دوران تین بار امریکہ کپ یاٹ ریسوں کی میزبانی کی۔,C,,,
"Such cities are for example Lublin, Kraków, Gdańsk, Poznań.",اس طرح کے شہر مثال کے طور پر لبلن ، کراکو ، گڈاسک ، پوزنا ń ہیں۔,اس طرح کے شہروں میں مثال کے طور پر لبلن، کراکو، Gdańsk، Poznań ہیں.,C,,,
"France and England experienced serious peasant uprisings, such as the Jacquerie and the Peasants' Revolt, as well as over a century of intermittent conflict in the Hundred Years' War.",فرانس اور انگلینڈ کو جیکری اور کسانوں کی بغاوت جیسے سنگین کسان بغاوت کا سامنا کرنا پڑا ، نیز سو سالوں کی جنگ میں وقفے وقفے سے ایک صدی سے زیادہ تنازعہ کا سامنا کرنا پڑا۔,فرانس اور انگلینڈ نے سنگین کسان بغاوتوں کا تجربہ کیا ، جیسے جیکری اور کسانوں کی بغاوت ، نیز سو سالہ جنگ میں ایک صدی سے زیادہ وقفے وقفے سے تنازعہ کا سامنا کرنا پڑا۔,A,,,
"Book 9 records an assault by Nisus and Euryalus on the Rutulians, Book 10, the death of Evander's young son Pallas, and 11 the death of the Volscian warrior princess Camilla and the decision to settle the war with a duel between Aeneas and Turnus.",کتاب 9 میں نیسس اور یوریئلس کے ذریعہ روٹولینز ، کتاب 10 ، ایونڈر کے جوان بیٹے پلس کی موت ، اور 11 وولسکیئن واریر شہزادی کیملا کی موت اور اینیاس اور ٹرنس کے مابین دوندوی کے ساتھ جنگ کو حل کرنے کے فیصلے کا ریکارڈ ہے۔,کتاب 9 میں نیسس اور یوریلس کا روٹولینز پر حملہ ، کتاب 10 ، ایوانڈر کے نوجوان بیٹے پالاس کی موت ، اور 11 وولسکیائی جنگجو شہزادی کیملا کی موت اور ایینیس اور ٹرنس کے مابین دوئل کے ساتھ جنگ کو حل کرنے کا فیصلہ درج ہے۔,B,,,
"In 2004, declassified documents revealed that the U.S. was so distraught by the rise in oil prices and being challenged by under-developed countries that they briefly considered military action to forcibly seize Middle Eastern oilfields in late 1973.",2004 میں ، ناقص دستاویزات سے انکشاف ہوا کہ امریکی تیل کی قیمتوں میں اضافے اور کم ترقی یافتہ ممالک کے ذریعہ چیلنج کیا گیا تھا کہ انہوں نے 1973 کے آخر میں مشرق وسطی کے تیل کے میدانوں کو زبردستی ضبط کرنے کے لئے فوجی کارروائی پر مختصر طور پر غور کیا۔,2004 میں ، غیر خفیہ دستاویزات نے انکشاف کیا کہ امریکہ تیل کی قیمتوں میں اضافے سے اتنا پریشان تھا اور کم ترقی یافتہ ممالک کے ذریعہ چیلنج کیا جارہا تھا کہ انہوں نے 1973 کے آخر میں مشرق وسطی کے تیل کے کھیتوں پر زبردستی قبضہ کرنے کے لئے مختصر طور پر فوجی کارروائی پر غور کیا۔,B,,,
""" He acknowledged that Calhoun also ""believed that the highest forms of civilization depend on involuntary servitude.","""انہوں نے اعتراف کیا کہ کلہون نے یہ بھی یقین کیا کہ تہذیب کی اعلی ترین شکلیں غیرضروری غلامی پر منحصر ہیں۔","انہوں نے تسلیم کیا کہ کالہون نے بھی ""یقین کیا کہ تہذیب کی اعلی ترین شکلیں غیر رضاکارانہ غلامی پر منحصر ہیں۔",B,,,
English and Spanish are also part of the official curriculum.,انگریزی اور ہسپانوی بھی سرکاری نصاب کا حصہ ہیں۔,انگریزی اور ہسپانوی بھی سرکاری نصاب کا حصہ ہیں.,C,,,
The new theological freedoms which he fostered resulted in a pluralism of opinions and uncertainties among the faithful.,نئی مذہبی آزادیوں کو جو انہوں نے پروان چڑھایا اس کے نتیجے میں وفاداروں میں رائے اور غیر یقینی صورتحال کی تکثیریت کا سامنا کرنا پڑا۔,نئی الہیاتی آزادیوں جس کی انہوں نے حوصلہ افزائی کی اس کے نتیجے میں مومنوں کے درمیان رائے اور غیر یقینی صورتحال کا کثرت پیدا ہوا۔,C,,,
"The Seven Monument Zones (Mzs) inscribed originally in 1979 and with a minor modification in 2006 are Durbar squares of Hanuman Dhoka, Patan and Bhaktapur, Hindu temples of Pashupatinath and Changunarayan, the Buddhist stupas of Swayambhu and Boudhanath.",سات یادگار زونز (ایم زیڈز) نے اصل میں 1979 میں لکھا ہوا تھا اور 2006 میں معمولی ترمیم کے ساتھ ہی ہنومان دھوکا ، پٹن اور بھکتا پور کے دربار چوکور ، پشوپتیناتھ کے ہندو مندر ، سویئمبھو اور بودھاناتھ کے بدھ اسٹوپا ہیں۔,سات یادگار زون (Mzs) اصل میں 1979 میں درج کیا گیا تھا اور 2006 میں معمولی ترمیم کے ساتھ ہنومان ڈھوکہ ، پٹان اور بختاپور کے دربار اسکوائر ، پشوپتی ناتھ اور چنگونارائن کے ہندو مندر ، سویامبو اور بودھ ستپاس ہیں۔,B,,,
"However, they criticized the exterior design and the build quality in relation to the original model.",تاہم ، انہوں نے اصل ماڈل کے سلسلے میں بیرونی ڈیزائن اور تعمیر کے معیار پر تنقید کی۔,تاہم ، انہوں نے اصل ماڈل کے سلسلے میں بیرونی ڈیزائن اور تعمیراتی معیار پر تنقید کی۔,C,,,
"Similarly, Native Americans did not generally learn to read and write English, although some did in the nineteenth century.",اسی طرح ، مقامی امریکی عام طور پر انگریزی پڑھنا اور لکھنا نہیں سیکھتے تھے ، حالانکہ کچھ نے انیسویں صدی میں کیا تھا۔,اسی طرح ، مقامی امریکیوں نے عام طور پر انگریزی پڑھنا اور لکھنا نہیں سیکھا ، حالانکہ انیسویں صدی میں کچھ نے کیا۔,C,,,
"The Plan of Tuxtepec defended the ""No Re-election"" principle.","ٹکسٹپیک کے منصوبے نے ""دوبارہ انتخاب نہیں"" اصول کا دفاع کیا۔","Tuxtepec کے منصوبے ""کوئی دوبارہ انتخاب"" اصول کا دفاع کیا.",A,,,
Melatonin is absent from the system or undetectably low during daytime.,میلٹنن سسٹم سے غیر حاضر ہے یا دن کے وقت غیر متوقع طور پر کم ہے۔,melatonin نظام سے غائب ہے یا دن کے دوران undetectably کم ہے.,C,,,
"Copper or bronze coins were not struck, nor were gold except in Southern Europe.",تانبے یا کانسی کے سککوں کو نشانہ نہیں بنایا گیا تھا ، اور نہ ہی جنوبی یورپ کے سوا سونا تھا۔,تانبے یا کانسی کے سکے نہیں بنائے گئے تھے، نہ ہی سونے کے سوا جنوبی یورپ میں.,B,,,
"The same study also showed that the eye colour of the students was 14.6% blue/green, 28% medium (light brown) and 57.4% dark brown.",اسی مطالعے سے یہ بھی پتہ چلتا ہے کہ طلباء کی آنکھوں کا رنگ 14.6 ٪ نیلے/سبز ، 28 ٪ میڈیم (ہلکا براؤن) اور 57.4 ٪ گہرا بھورا تھا۔,اسی مطالعے سے یہ بھی ظاہر ہوا کہ طلباء کی آنکھوں کا رنگ 14.6٪ نیلے / سبز ، 28٪ درمیانے درجے کا (ہلکا بھوری) اور 57.4٪ سیاہ بھوری تھا۔,A,,,
"Finos Film also contributed to this period with movies such as Λατέρνα, Φτώχεια και Φιλότιμο, Madalena, Η Θεία από το Σικάγο, Το ξύλο βγήκε από τον Παράδεισο and many more.",Finos فلم نے اس دور میں بھی resposed resposed resposed resposed resposed resposed resposed responded rencidents resposed respions rencidents respions resove resove resove rencuted and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and.,فینوس فلم نے بھی اس دور میں ایسی فلموں کے ساتھ حصہ لیا جیسے Λατέρνα ، Φτώχεια και Φιλότιμο ، Madalena ، Η Θεία από το Σικάγο ، Το ξύλο βγήκε από τον Παράδεισο اور بہت کچھ۔,B,,,
There is not any satisfactory theory on their origin.,ان کی اصلیت پر کوئی تسلی بخش نظریہ نہیں ہے۔,ان کی اصل کے بارے میں کوئی اطمینان بخش نظریہ نہیں ہے.,C,,,
"With filming completed in Rome, production moved to Mexico City in late March to shoot the film's opening sequence, with scenes to include the Day of the Dead festival filmed in and around the Zócalo and the Centro Histórico district.",روم میں فلم بندی مکمل ہونے کے ساتھ ہی ، پروڈکشن مارچ کے آخر میں میکسیکو سٹی منتقل ہوگئی تاکہ فلم کے افتتاحی سلسلے کی شوٹنگ کی جاسکے ، جس میں زیکالو اور سینٹرو ہسٹریکو ضلع میں اور اس کے آس پاس فلمایا جانے والے دن کے دن کا دن شامل کیا گیا تھا۔,روم میں فلم بندی مکمل ہونے کے بعد ، پروڈکشن مارچ کے آخر میں میکسیکو سٹی منتقل ہوگئی تاکہ فلم کے افتتاحی تسلسل کی شوٹنگ کی جاسکے ، جس میں زوکالو اور سنٹرو ہسٹوریکو ضلع میں اور اس کے آس پاس فلمایا جانے والا ڈے آف دی ڈیڈ فیسٹیول شامل ہو۔,B,,,
